iter	Logloss
0	0.6570868183
1	0.6284653807
2	0.6063327176
3	0.5783751296
4	0.5588071323
5	0.5454753219
6	0.5340111784
7	0.5272395639
8	0.5054835417
9	0.4901198974
10	0.4841263807
11	0.4716158305
12	0.4617643763
13	0.449375739
14	0.4398125893
15	0.4315495875
16	0.4224171921
17	0.4141452081
18	0.4095764802
19	0.4039310601
20	0.3995406799
21	0.3930035198
22	0.3870445285
23	0.3808865793
24	0.3756101427
25	0.3717239254
26	0.3647148493
27	0.3570908749
28	0.3520532847
29	0.3475147528
30	0.341438374
31	0.3402593273
32	0.3376585786
33	0.3336127589
34	0.3313322077
35	0.3292946976
36	0.3272001308
37	0.3254434282
38	0.3235047378
39	0.3213076499
40	0.3193756177
41	0.3178233486
42	0.3156134327
43	0.312861208
44	0.309501964
45	0.3083940853
46	0.3071606057
47	0.3042588248
48	0.3017509428
49	0.3007315412
50	0.2994109239
51	0.297369999
52	0.2938035482
53	0.2928225841
54	0.2917516772
55	0.2880819353
56	0.2872499836
57	0.2868558865
58	0.2854018702
59	0.2849706568
60	0.283787648
61	0.2822873398
62	0.2817184849
63	0.2814748255
64	0.2807899469
65	0.2798274136
66	0.2792005175
67	0.278817162
68	0.278213069
69	0.2776147649
70	0.2764390339
71	0.2762490813
72	0.2760109231
73	0.2755331545
74	0.2748744903
75	0.2740065867
76	0.2722982147
77	0.2696558463
78	0.2684603475
79	0.2674056381
80	0.2664432101
81	0.2654237326
82	0.2651195037
83	0.2639300043
84	0.2635383193
85	0.2618583801
86	0.2611532476
87	0.2603265744
88	0.2599051892
89	0.2595952423
90	0.2587502435
91	0.2575483741
92	0.2572335492
93	0.2564899205
94	0.2549788536
95	0.2545551053
96	0.2538477175
97	0.2532117902
98	0.2528521696
99	0.2519987384
100	0.2510087775
101	0.2489278209
102	0.2483304094
103	0.2478374731
104	0.2473194764
105	0.2468452935
106	0.2450864311
107	0.2450067243
108	0.2443910656
109	0.24356893
110	0.2432521277
111	0.2428521988
112	0.2416825334
113	0.2408717706
114	0.2407314874
115	0.2398119726
116	0.2391416478
117	0.2386475115
118	0.2380671656
119	0.2375551569
120	0.2368397444
121	0.2359376398
122	0.2357600977
123	0.2349818285
124	0.2341879574
125	0.2334853514
126	0.2329257076
127	0.2323055848
128	0.2311059769
129	0.2298150499
130	0.2293288018
131	0.2289476857
132	0.2276418475
133	0.2269386355
134	0.2265951205
135	0.2262617657
136	0.2257032122
137	0.2253182668
138	0.2249621345
139	0.2247668521
140	0.2245338664
141	0.2243651087
142	0.2241516814
143	0.2233854626
144	0.2224487481
145	0.2218404053
146	0.221410786
147	0.2211705782
148	0.2205802835
149	0.2204932725
150	0.2203845689
151	0.2202784659
152	0.2190059441
153	0.2187791556
154	0.2161827908
155	0.2160185076
156	0.2154316964
157	0.2149483427
158	0.2129188016
159	0.2125085198
160	0.2120424185
161	0.2108871404
162	0.2105026683
163	0.2101359799
164	0.2087130558
165	0.2081214014
166	0.2074967545
167	0.2060177942
168	0.2059400856
169	0.205659193
170	0.2049280825
171	0.2043168635
172	0.2039416422
173	0.2033232587
174	0.2027551262
175	0.2018198461
176	0.2010676686
177	0.1998443864
178	0.199313473
179	0.198937527
180	0.1988060111
181	0.1984898038
182	0.1983696136
183	0.1979504648
184	0.1976022402
185	0.1971319833
186	0.1968274935
187	0.1962304751
188	0.1958892547
189	0.1953841631
190	0.1946222322
191	0.1942614251
192	0.1936175197
193	0.1929505461
194	0.1926490395
195	0.1924676712
196	0.191446411
197	0.1907906632
198	0.1900188135
199	0.1897147828
200	0.1891020695
201	0.1885983995
202	0.1881494091
203	0.1879549367
204	0.1876331835
205	0.1870789252
206	0.1862266707
207	0.1858703094
208	0.1852729199
209	0.1851236393
210	0.1847825003
211	0.1842326566
212	0.1836745488
213	0.183433804
214	0.1827269653
215	0.1811275711
216	0.1801501884
217	0.1799794612
218	0.1798163333
219	0.1795771019
220	0.1793938107
221	0.1788282738
222	0.1784138965
223	0.1782242996
224	0.1777798511
225	0.1771735585
226	0.1768476173
227	0.1764420537
228	0.1762269135
229	0.1746829342
230	0.1744452162
231	0.1740827348
232	0.1738674593
233	0.1734427903
234	0.172647797
235	0.1722226627
236	0.1719055678
237	0.1715193221
238	0.1714261481
239	0.1711932622
240	0.1709392719
241	0.1704637813
242	0.1692772591
243	0.1689180016
244	0.1687849166
245	0.1684280044
246	0.1681825157
247	0.1680016022
248	0.1674101976
249	0.1672884163
250	0.1669056197
251	0.1665782772
252	0.166274972
253	0.1657595307
254	0.1653289815
255	0.1647180833
256	0.1645708933
257	0.1645067596
258	0.1642765422
259	0.1638799816
260	0.163556892
261	0.1633726555
262	0.1630616532
263	0.1627822182
264	0.1626241415
265	0.1619988573
266	0.1616389318
267	0.1614791563
268	0.1611168524
269	0.1606242705
270	0.1601820877
271	0.1591912226
272	0.1588075212
273	0.1583479514
274	0.1580858434
275	0.1576117536
276	0.1574529765
277	0.1573601331
278	0.1571502101
279	0.1567230641
280	0.1564927469
281	0.1564388154
